ORDEM;ID;BASE;TITULO;AUTORES;ANO;IDIOMA;OBJETIVOS;METODOS;RESULTADOS;CONCLUSOES
11;src_ccY2ERKfsdkyaC5NwHHoA;ScienceDirect;Um método baseado em visão para identificação de ervas daninhas através da teoria da decisão bayesiana;Joaquin Gutierrez, Angela Ribeiro, Alberto Tellaecche, Xavier Paolo Burgos-Arizzu, Gonzalo Pajares;0;INDISPONÍVEL;Desenvolver uma abordagem automática baseada em visão computacional para a detecção e pulverização diferencial de ervas daninhas em culturas de milho.;Extração de atributos independentes da distribuição de ervas daninhas e culturas, bem como do tamanho e forma das células. Seleção aleatória de um subconjunto de 160 imagens para segmentação. Seleção de 10 células de cada imagem segmentada. Classificação de 19% das células como candidatas a serem pulverizadas com base na expertise de agricultores e consultores técnicos.;Desenvolvimento de um método eficaz para a detecção e pulverização diferencial de ervas daninhas em culturas de milho.;O método proposto pode ser uma solução viável para a redução do uso de herbicidas em culturas de milho, resultando em economia de custos e menor impacto ambiental.
12;src_xNKUt0w24TaH3QNTdJRQz;Google Scholar;Reconhecimento de ervas daninhas com processamento de imagens e uso de lógica fuzzy para agricultura de precisão;INDISPONÍVEL;1999;Francês;Desenvolver um sistema de aquisição/gestão de imagens para detecção de ervas daninhas e um sistema de lógica fuzzy para tomada de decisões sobre a localização e quantidade de herbicida a ser aplicado em um campo agrícola.;Foram coletadas imagens digitais em três campos de milho da Universidade McGill, no Canadá, e utilizadas técnicas de processamento de imagens para identificar as áreas verdes correspondentes às ervas daninhas.;Foi desenvolvido um controlador de lógica fuzzy para controlar a aplicação de herbicidas em um bico de pulverização. O sistema foi capaz de classificar as áreas verdes nas imagens como ervas daninhas ou não ervas daninhas com uma precisão de 90%.;O sistema desenvolvido mostrou ser uma alternativa viável para a detecção de ervas daninhas e aplicação de herbicidas em campos agrícolas, permitindo uma aplicação mais precisa e econômica de herbicidas.
13;src_ctjAcGSO4UyuWZz71tthL;ScienceDirect;Identificação de ervas daninhas em milho usando técnicas de aprendizado de máquina;Dharanidharan Arumugam, Calvin Stepan, Ravi Kiran, Thomas Peters, INDISPONÍVEL;2023;Inglês;Fornecer uma visão geral dos métodos de aprendizado de máquina usados para identificar ervas daninhas em milho;Uso de técnicas de aprendizado de máquina, como redes neurais e máquinas de vetor de suporte, para identificar ervas daninhas em milho;Redução significativa no uso de herbicidas e melhoria na produção de culturas;A interpretabilidade dos modelos de aprendizado de máquina é altamente desejada para entender os vieses embutidos na rede e também para identificar as características de entrada importantes e as condições que levaram à decisão de aprendizado de máquina.
14;src_RcohBCnvvmJoJSMew8W9R;SemanticScholar;Hyperspectral Vision-Based Machine Learning for Robust Plant Recognition in Autonomous Weed Control;Yun Zhang;2011;INDISPONÍVEL;Explorar o uso de aprendizado de máquina e tecnologia baseada em visão para melhorar o controle de ervas daninhas na agricultura.;INDISPONÍVEL;INDISPONÍVEL;INDISPONÍVEL
15;src_FS95jxlrq3rMrrrZT9yUg;NCBI;Métodos de detecção de ervas daninhas baseados em visão computacional: uma revisão;Pignatti, E., Ribeiro, A., & Junior, J. F.;2021;Inglês;Revisar os métodos de detecção de ervas daninhas baseados em visão computacional;Análise de artigos científicos e revisão bibliográfica;Apresentação dos métodos mais recentes e tecnologias utilizadas para detecção e gerenciamento de ervas daninhas na produção agrícola;Os métodos baseados em visão computacional são promissores para a detecção e gerenciamento de ervas daninhas na produção agrícola
16;src_DyHOOqzXygnSmbiOaqUVy;SemanticScholar;Desenvolvimento de um sistema de visão computacional para mapeamento de plantas daninhas em áreas de cultivo sem aração;Liu, H;2013;Inglês;Desenvolver um método de mapeamento de plantas daninhas para gerenciamento efetivo em áreas de cultivo sem aração;Desenvolvimento de um sistema de visão computacional para mapeamento de plantas daninhas em áreas de cultivo sem aração;Desenvolvimento de um método efetivo de mapeamento de plantas daninhas para gerenciamento em áreas de cultivo sem aração;O método desenvolvido pode ser utilizado para gerenciamento efetivo de plantas daninhas em áreas de cultivo sem aração
17;src_s2eqJRovUJel7dTSUEF99;ResearchGate;Automatic detection and mapping of European ground squirrel burrows on UAV-based multi- and hyperspectral imagery with classification methods;Mátyás Árvai, János Mészáros, Zsófia Kovács, Eric C. Brevik, László Pásztor, Csongor I;2020;Indisponível;Desenvolver um método de detecção automática e mapeamento de tocas de esquilo terrestre europeu em imagens multiespectrais e hiperespectrais baseadas em UAV.;Processamento de imagens aéreas por meio de software fotogramétrico e classificação por algoritmos de aprendizado de máquina implementados em um script R personalizado. Estudo do efeito da altura da grama na detecção de sucesso.;A classificação bem-sucedida pode ser realizada em imagens de faixa visível RGB e hiperespectrais. A resolução espacial apropriada (abaixo da faixa de cm) e a presença de grama alta são fatores-chave mais importantes do que o número de bandas espectrais.;O método está sendo desenvolvido especificamente para esquilos terrestres europeus, mas pode ser modificado para as características de outros mamíferos escavadores desse tamanho (por exemplo, ratos-toupeira, toupeiras).
18;src_XVl4Ac6dYpEY9svfgtyCk;PubMed;Using deep learning for detecting herbicide weed control spectrum in turfgrass;Xiaojun Jin, INDISPONÍVEL;2022;Inglês;Avaliar a eficácia do uso de redes neurais convolucionais profundas (DCNNs) para discriminar ervas daninhas em grama com base em sua suscetibilidade a herbicidas inibidores de ACCase e auxinas sintéticas.;Uso de redes neurais convolucionais profundas (DCNNs) para discriminar ervas daninhas em grama com base em sua suscetibilidade a herbicidas inibidores de ACCase e auxinas sintéticas.;INDISPONÍVEL;INDISPONÍVEL
19;src_5Er6ykZYIfiuW2aLLwqv0;PubMed;Identification and Comprehensive Evaluation of Resistant Weeds Using Unmanned Aerial Vehicle-Based Multispectral Imagery;INDISPONÍVEL;0;INDISPONÍVEL;Fornecer informações sobre o uso de tecnologia avançada para o manejo de ervas daninhas resistentes;Uso de imagens multiespectrais de veículos aéreos não tripulados para identificar e avaliar a resistência de ervas daninhas;Os resultados mostraram que a tecnologia de imagens multiespectrais de veículos aéreos não tripulados pode ser usada para identificar e avaliar a resistência de ervas daninhas com alta precisão;O uso de tecnologia avançada, como imagens multiespectrais de veículos aéreos não tripulados, pode ser uma ferramenta eficaz para o manejo de ervas daninhas resistentes
20;src_7fvknH8MSUahZRBpUfsFL;PubMed;Evaluation of Convolutional Neural Networks for Herbicide Susceptibility-Based Weed Detection in Turf;XJ, YC, JY, TL, PM;2021;Inglês;Explorar uma nova estratégia para detectar ervas daninhas em gramados treinando modelos de aprendizado profundo para identificar ervas daninhas suscetíveis a herbicidas.;Treinamento de redes neurais convolucionais para identificar ervas daninhas suscetíveis a herbicidas.;Alta precisão na detecção e distinção de certas espécies de ervas daninhas, mas também destacou os desafios na detecção de ervas daninhas com morfologia semelhante.;O método proposto é altamente adequado para integrar no subsistema de visão de máquina de pulverizadores inteligentes para o controle de ervas daninhas com precisão enquanto crescem em gramados.
21;src_l1zHupzhHUTzzWNhXISPr;PubMed;Uso de processamento de imagem digital na análise de lesões pulmonares causadas por herbicidas agrícolas;Claudio Pedrassoli Junior, Gabriela Vidotto Cavallieri, Francisco Assis da Silva, Geovana Letícia Fernandes, Gisele Alborghetti Nai, Ana Karina Marques Salge, Josiano Guilherme Puhle, Debora Tavares de Resende e Silva, Danillo Roberto Pereira, Fabíola de ;2021;Português;Analisar as lesões alveolares causadas pela exposição crônica a herbicidas agrícolas e destacar a utilidade do processamento de imagem digital nessa análise.;Experimento com exposição crônica a herbicidas agrícolas, produção de lâminas histopatológicas, processamento de imagem digital e análise dos resultados.;O estudo identificou lesões alveolares significativas em ratos expostos cronicamente a herbicidas agrícolas e demonstrou a eficácia do processamento de imagem digital na identificação dessas lesões.;O uso de processamento de imagem digital pode ser uma ferramenta valiosa na análise de lesões pulmonares causadas por exposição crônica a herbicidas agrícolas, permitindo uma identificação mais precisa e eficiente das lesões alveolares.
22;src_Vm4w4KVDiisrX5Pmexzfh;PubMed;Automatic visible-range video weed detection, segmentation, and classification prototype in potato fields;Lin, P., Contreras, M.A., Dai, R., Zhang, J.;2016;INDISPONÍVEL;To present an automatic machine vision prototype in the visible range based on video processing and network-cultural classification algorithm for accurate identification and classification of Marfona potato plant and five weed species;Video processing and meta-heuristic classifiers;The prototype was able to accurately identify and classify potato plants and weed samples;The machine vision prototype has potential for site-specific herbicide spraying application and other purposes
23;src_94529buLLm3tLq25OWV9J;PubMed;Weed Classification for Site-Specific Weed Management in Rice Fields Using an Automated Stereo Computer-Vision Machine-Learning System;Morteza Dehghani, Yadollah Abaspour-Gilandeh, Jose Luis Hernandez-Hernandez, Miguel Hernandez-Hernandez, and Juan Ignacio Arribas;2020;Inglês;Desenvolver um sistema de aprendizado de máquina de visão computacional estéreo automatizado para classificação de ervas daninhas em campos de arroz para gerenciamento de ervas daninhas específico do local.;Extração de características de cor e forma de imagens de ervas daninhas usando seis espaços de cores e índices de vegetação. Foram extraídas 127 características de cor e 29 características de forma para cada objeto. O sistema de aprendizado de máquina foi treinado com imagens rotuladas de ervas daninhas e plantas de arroz.;O sistema de aprendizado de máquina alcançou uma taxa de classificação de 96,5% para ervas daninhas e 98,3% para plantas de arroz. O sistema também foi capaz de identificar ervas daninhas em diferentes estágios de crescimento.;O sistema de aprendizado de máquina de visão computacional estéreo automatizado pode ser uma ferramenta útil para o gerenciamento de ervas daninhas específico do local em campos de arroz, permitindo a aplicação seletiva de herbicidas e reduzindo o impacto ambiental.
24;src_9v3G6SHJQkUwexQD7m9Ky;PubMed;Computer vision and crop abiotic stressors;Orka, N.A.O., M.N.U.;2023;Indisponível;Fornecer uma visão geral das técnicas de visão computacional baseadas em aprendizado profundo para avaliação de estresse abiótico em culturas.;Revisão sistemática com seleção de artigos e extração de dados utilizando formulário específico.;Apresentação de técnicas de visão computacional baseadas em aprendizado profundo para avaliação de estresse abiótico em culturas.;As técnicas de visão computacional baseadas em aprendizado profundo apresentam grande potencial para avaliação de estresse abiótico em culturas, mas ainda há desafios a serem superados para sua aplicação em larga escala.
25;src_U1MgndSpxVVPghG5yMiZQ;PubMed;Detecção de ervas daninhas em azevém perene usando redes neurais convolucionais de aprendizado profundo;JY, AS, NB, ZC, SS;0;Inglês;Demonstrar como a aplicação precisa de herbicidas pode reduzir o custo de controle de ervas daninhas em sistemas de manejo de gramados.;Treinamento de modelos de redes neurais convolucionais de aprendizado profundo para detecção de ervas daninhas em imagens de azevém perene.;Os modelos treinados apresentaram alta precisão na detecção de ervas daninhas em imagens de azevém perene.;A detecção precisa de ervas daninhas em azevém perene usando redes neurais convolucionais de aprendizado profundo pode levar a uma redução no custo de controle de ervas daninhas em sistemas de manejo de gramados.
26;src_XOUFCr99rVaESKjZefuTf;PubMed;Sistema de localização automática em tempo real de plantas vegetais para controle de ervas daninhas;W-HS, J-LL, H-YZ, YP;0;INDISPONÍVEL;Desenvolver um sistema de localização automática em tempo real de plantas vegetais para controle de ervas daninhas;Integrar técnicas de sensoriamento baseadas em sinais de cultivo para localizar tomate e pakchoi;Alta precisão na identificação de etiquetas de plantas;O sistema proposto demonstrou eficiência na localização de plantas de tomate e pakchoi em tempo real
27;src_d8xkZH90LRQ4MFbxtn9sa;PubMed;Um novo modelo para identificação de ervas daninhas em milharais usando redes neurais convolucionais;;0;Português;Desenvolver um modelo de identificação de ervas daninhas em milharais usando redes neurais convolucionais;Utilização de redes neurais convolucionais para treinar o modelo de identificação de ervas daninhas em milharais;O modelo SE-VGG16 apresentou uma precisão média de 99,67%, superando outros modelos multiscale clássicos e avançados;O modelo SE-VGG16 é uma ferramenta valiosa para a indústria agrícola que busca melhorar a qualidade e o rendimento das colheitas de milho
28;src_Y3Eazeyc6k0QuXTKZ7qHf;PubMed;Um classificador híbrido CNN-SVM para reconhecimento de ervas daninhas em campos de colza de inverno;;0;INDISPONÍVEL;Propor um classificador híbrido CNN-SVM para melhorar a precisão da classificação de sementes de colza de inverno e ervas daninhas em campos.;Utilização de uma rede neural convolucional profunda com classificador SVM para reconhecimento de ervas daninhas em campos de colza de inverno.;O classificador híbrido CNN-SVM proposto melhorou significativamente a precisão da classificação de sementes de colza de inverno e ervas daninhas em campos.;O classificador híbrido CNN-SVM proposto pode ser uma ferramenta útil para o reconhecimento de ervas daninhas em campos de colza de inverno.
29;src_MtMQ93TOYdZSNQcvQ8fJ8;PubMed;Ultrasonic System for Weed Detection in Cereal Crops;;2012;Inglês;Desenvolver um sistema ultrassônico para detecção de plantas daninhas em culturas de cereais;Utilização de um sensor de distância ultrassônico para determinar alturas de plantas e detectar infestações de plantas daninhas em campos agrícolas;Desenvolvimento de um sistema eficiente para detecção de plantas daninhas em culturas de cereais;O sistema ultrassônico pode ser uma ferramenta útil para a detecção precoce de plantas daninhas em culturas de cereais, permitindo uma aplicação mais precisa de herbicidas e reduzindo o impacto ambiental.
30;src_eOyjvLGcmVdpqSUYbVAAS;PubMed;Desenvolvimento de um modelo fuzzy para diferenciar plantas de amendoim de plantas daninhas de folhas largas usando características de imagem;;2020;Inglês;Desenvolver um modelo fuzzy para diferenciar plantas de amendoim de plantas daninhas de folhas largas usando características de imagem;Combinação de técnicas de árvore de decisão e lógica fuzzy;Alta precisão na distinção entre diferentes plantas;O modelo proposto pode ser usado como uma ferramenta eficaz para o controle de plantas daninhas em plantações de amendoim
31;src_X1CIcrtS8NLKSJH87ebIa;PubMed;Identificação de ervas daninhas de soja em campo usando um modelo UNet aprimorado e mecanismo de atenção de canal;;2022;Inglês;Desenvolver um método para identificar ervas daninhas de soja em ambientes de campo complexos;Coleta de dados de imagens de ervas daninhas em campo, pré-processamento de imagens, uso do algoritmo de recurso ultraverde (2 g-rb) para extrair informações de ervas daninhas e culturas, desenvolvimento de um modelo UNet aprimorado e mecanismo de atenção de canal para identificação de ervas daninhas;O modelo UNet aprimorado e mecanismo de atenção de canal alcançou uma precisão média de 96,7% na identificação de ervas daninhas de soja em ambientes de campo complexos;O método proposto pode ser uma solução eficaz para a identificação de ervas daninhas de soja em ambientes de campo complexos, o que pode ajudar a melhorar a eficiência da produção de soja
32;src_QFNK3886vYhbzfHVzDzee;PubMed;Improved weed segmentation model for UAV imagery of sorghum fields;;0;Inglês;Apresentar um modelo de segmentação de ervas daninhas para imagens de UAV de campos de sorgo;Modelo de segmentação combinado de desfocagem;Auxílio na gestão eficiente e específica de ervas daninhas;INDISPONÍVEL
33;src_jytHZhtpMB8RTLtWNhjuN;PubMed;Classificação de ervas daninhas em campos de milho natural com base em imagens de várias plantas usando aprendizado raso e profundo;;2022;Indisponível;Desenvolver um sistema de classificação de ervas daninhas em campos de milho usando técnicas de aprendizado de máquina;Utilização de técnicas de aprendizado raso e profundo para classificar imagens de várias plantas em campos de milho;Os resultados mostraram que o sistema de classificação desenvolvido foi capaz de identificar e classificar com precisão as ervas daninhas em campos de milho;O uso de técnicas de aprendizado de máquina pode ser uma solução eficaz para a classificação de ervas daninhas em campos de milho, o que pode ajudar a melhorar a eficiência da produção agrícola.
34;src_mZ2uS45aeU4E5c2yKHQik;PubMed;Uma nova abordagem para classificação de tipos de ervas daninhas usando descritores de forma e método de tomada de decisão difusa;;2014;Inglês;Desenvolver uma estratégia para distinguir entre gramíneas e ervas daninhas de folhas largas em imagens de campo externo usando descritores de forma e um método de tomada de decisão difusa.;"O método proposto consiste em quatro etapas: (1) segmentação da cobertura vegetal e definição de regiões; (2) rotulagem de regiões desconectadas; (3) extração dos sete momentos invariantes de Hu e seis descritores de forma geométrica para cada região; e (4) classificação de regiões monocotiledôneas e dicotiledôneas por meio de um método de tomada de decisão. Vários métodos de tomada de decisão são analisados neste artigo.";Os resultados mostram que a abordagem proposta é capaz de classificar com sucesso as ervas daninhas em imagens de campo externo, com uma taxa de precisão de 92,5% para gramíneas e 91,3% para ervas daninhas de folhas largas.;A abordagem proposta pode ser uma ferramenta útil para a identificação e classificação de ervas daninhas em imagens de campo externo, o que pode ajudar a melhorar a eficiência da aplicação de herbicidas e reduzir o impacto ambiental. No entanto, mais pesquisas são necessárias para avaliar a eficácia da abordagem em diferentes condições de campo e para expandir a classificação para outras espécies de plantas daninhas.
35;src_dIZW5uIHdrrJBmfSvXfgi;PubMed;A Semantic Labeling Approach for Accurate Weed Mapping of High Resolution UAV Imagery;;2018;Inglês;Demonstrar uma abordagem de rotulagem semântica para mapeamento preciso de ervas daninhas em imagens de alta resolução de UAV;Coleta de dados em um campo de arroz na China, aplicação de algoritmos de processamento de imagens e análise de resultados;Mapeamento preciso de ervas daninhas em imagens de alta resolução de UAV;A abordagem de rotulagem semântica pode ser uma solução eficaz para o mapeamento preciso de ervas daninhas em imagens de alta resolução de UAV, o que pode levar a um manejo mais eficiente e sustentável de ervas daninhas em culturas de arroz.
36;src_S4Q2444dxvAUlEPiHsEIz;PubMed;YOLOX-based blue laser weeding robot in corn field;Zhu H, Zhang Y, Mu D, Bai L, Zhuang H, Li H;2022;INDISPONÍVEL;Utilizar um robô de deservagem a laser azul baseado em YOLOX em campos de milho;Utilização de redes neurais convolucionais e um emissor de laser em um braço robótico para detectar e eliminar ervas daninhas de forma precisa;O laser azul conseguiu inibir efetivamente o crescimento de três tipos de ervas daninhas testadas, com eficiência de controle de peso seco superior a 90% em doses altas;A tecnologia apresentada demonstra um potencial significativo para o controle de ervas daninhas em campos de milho, oferecendo uma abordagem inovadora e eficaz
37;src_D2E8LcGNKNlUlHHqqkyxn;PubMed;Weed Detection in Agriculture Using Deep Learning: A Comprehensive Review;;2023;Inglês;Extrair o estado da arte, identificar pesquisas acadêmicas publicadas relacionadas ao uso de DL na detecção de ervas daninhas, entender o conteúdo desses artigos, classificar os resultados usando diferentes métodos de análise, identificar lacunas ou limitações por meio dessas classificações e propor diretrizes e direções para motivar e aprimorar a pesquisa atual.;Realização de uma revisão sistemática da literatura, com critérios de inclusão e exclusão específicos, busca em fontes digitais selecionadas e aplicação de classificação temática aos artigos selecionados.;Foram identificados 105 artigos relevantes, que foram classificados e analisados. Os resultados indicam que o uso de DL na detecção de ervas daninhas é uma área de pesquisa em crescimento, com várias abordagens e técnicas sendo exploradas.;Os autores concluem que há espaço para mais pesquisas nessa área, especialmente em relação à aplicação prática das técnicas de DL na detecção de ervas daninhas em ambientes agrícolas reais.
38;src_OMHqjp8XbzzXf1rzMLAha;IEEE Xplore;Saliency-Based Semantic Weeds Detection and Classification Using UAV Multispectral Imaging;;0;INDISPONÍVEL;Desenvolver uma abordagem para detectar e classificar ervas daninhas em campos agrícolas usando imagens multiespectrais de UAV.;A abordagem proposta é baseada em saliência visual e aprendizado profundo.;Os resultados mostram que a abordagem proposta supera outras abordagens existentes em termos de precisão de detecção e classificação de ervas daninhas.;A abordagem proposta pode ser uma solução eficaz para a detecção e classificação de ervas daninhas em campos agrícolas, o que pode ajudar a melhorar os rendimentos das colheitas e reduzir o uso de agroquímicos prejudiciais.
39;src_5iFbmkrXR2ZvwbeNQB53w;IEEE Xplore;Reconhecimento de Culturas em Tempo Real em Campos Transplantados com Crescimento de Ervas Daninhas: Uma Abordagem Baseada em Atenção Visual;INDISPONÍVEL;2019;INDISPONÍVEL;Este estudo propõe uma abordagem baseada em atenção visual para reconhecer plantas cultivadas em campos com crescimento de ervas daninhas, essencial para a agricultura de precisão.;Foram comparados diferentes designs leves e métodos de refinamento, treinando e testando modelos DSS com diferentes espinhas dorsais, níveis de redução de canais e métodos de refinamento.;Os modelos alcançaram altos escores de F-measure (aproximadamente 97%) e baixos escores de MAE (menos de 0,01), indicando uma correspondência precisa entre as previsões e os rótulos.;Os resultados mostram que a abordagem proposta é eficaz para o reconhecimento de culturas em campos transplantados com crescimento de ervas daninhas, com alta precisão e eficiência.
40;src_HZdXYCuzXZ5vJCv5tejJv;IEEE Xplore;Hybrid CNN Model for Classification of Rumex Obtusifolius in Grassland;;2022;Inglês;Desenvolver um modelo híbrido de CNN para classificação de Rumex Obtusifolius em pastagens;Utilização de duas bases de dados de imagens RGB de plantas de Rumex em pastagens, aplicação de métricas como acurácia, precisão, recall e F1-score para avaliação do modelo;Desenvolvimento de um modelo híbrido de CNN com alta acurácia na classificação de plantas de Rumex em pastagens, oferecendo uma solução mais eficiente e menos prejudicial ao meio ambiente do que os métodos de remoção manual ou química;O modelo proposto apresenta um grande potencial para ser aplicado em outras áreas de classificação de plantas daninhas em pastagens, oferecendo uma alternativa mais sustentável e econômica para a indústria agrícola
